Date,Open,High,Low,Close,'Adj Close',Volume
2023-05-01,81.744797,82.949402,81.616997,82.683899,82.683899,0
2023-06-01,82.666801,82.711998,81.851303,82.075401,82.075401,0
2023-07-01,82.075401,82.823799,81.266899,82.2528,82.2528,0
2023-08-01,82.233299,84.929298,82.222,82.700401,82.700401,0
2023-09-01,82.682404,83.402199,82.542397,83.193001,83.193001,0
2023-10-01,83.175301,84.696999,81.205002,83.296501,83.296501,0
2023-11-01,83.277199,83.525803,82.908997,83.330299,83.330299,0
2023-12-01,83.352699,83.460197,81.026001,82.302002,82.302002,0
2024-01-01,83.248596,83.360298,81.513702,83.109703,83.109703,0
2024-02-01,83.053596,83.123901,82.813004,82.911903,82.911903,0
2024-03-01,82.9104,83.715698,82.658997,83.392998,83.392998,0
2024-04-01,83.364799,83.739601,83.154999,83.301804,83.301804,0
